음악,,,,,,,,,,,,,,,,,,,,
잔디,,,한옥,,,숲,,,바람,,,마음,,,마당,,,작가,,
요일,시간,아티스트명,요일,시간,아티스트명,요일,시간,아티스트명,요일,시간,아티스트명,요일,시간,아티스트명,요일,시간,아티스트명,요일,시간,아티스트명
토-일,15:30-16:00,오프닝,토-일,,,토-일,,,토-일,17:00-18:00,OYSTERS 오이스터즈,토-일,,,토-일,,,토-일,,CHANG SEAHEE / 장세희
,16:00-17:30,SUNDAY LEE,,,,,,,,19:00-20:00,MEANINGFUL STONE 김뜻돌,,18:00~19:00,BODY ART MEDITATION / 체감 예술 명상,,,,,,CONXI SANE (LIVE PAINTING)
,17:30-19:00,AFRODITE,,,,,,,,21:00-22:00,CHANG KIHA 장기하,,20:00~21:00,KIM OKI : EXORCIST KING / 김오키 퇴마왕,,17:00~18:00,"WELLNESS TAEKWONDO
웰니스 태권도",,,GOO GIJEONG / 구기정
,19:00-20:30,DAOX,,19:00-21:00,DOTT,,16:00~20:00,KOMPAKT RECORD,,,,,22:00~23:00,"INDIGO MOONWAVE SOUNDHEALING
인디고 문웨이브 사운드 힐링",,19:00~20:00,"MINDFUL AROMATHERAPY & ROLL-ON MAKING
마음챙김 아로마테라피&아로마롤온 만들기",,,JUNG SEUNG / 정승
,20:30-22:30,ARMEN MIRAN,,21:00-23:00,KIBUM B2B COSMJN,,,,,,,,,,,20:00~21:00,AIRHOUSE CEREMONY 에어하우스 세레모니,,,STUDIO NOKE / 스튜디오 노케
,22:30-24:30,SÉBASTIEN LÉGER,,23:00-24:30,DATA MEMORY ACCESS (LIVE),,22:00-24:00,DJ SIN,,,,,24:00~02:00,VERA,,21:00~22:00,"SAMULNORI ON : PAN ON
사물놀이 온ON : 판 온",,,VIIA YEON / 비아 연
,24:30-02:30 ,SPACE MOTION,,24:30-03:00,SHONKY,,24:00-02:00,ROBERT ISTOC,,,,,02:00~04:00,JONGHO (LIVE),,23:00~24:00,CHAWOOL 차울,,,CONXI SANE
,02:30-04:00,NOMTII,,03:00-05:00,GABBS,,02:00-04:00,SUNJU HARGUN,,,,,04:00~06:00,ROBERT ISTOC,,,,,,
,,,,05:00-08:00,FRANCESCO DEL GARDA,,04:00-06:00,SUNGHOON,,,,,07:00~08:00,VINYASA MOVEMENT / 빈야사 무브먼트,,10:00~11:00,"AIRHOUSE YOGA FLOW
에어하우스 요가 플로우",,,
,,,,08:00-11:00,FRANCESCO FARFA,,,,,,,,09:00~10:00,"HANDPAN MORNING FLOW
핸드팬과 함께하는 아침의 흐름",,,,,,
,,,,,,,,,,,,,11:00~12:00,"VOICE OF THE TREES: A FOREST TEMPLE
나무의 목소리: 숲의 사원",,12:00~13:00,"KOREA FOOD HAND RITUAL
손으로 만드는 한국 음식",,,
,,,,,,,,,,,,,13:00~14:00,"ZAHO : WHERE RHYTHM PAUSES
자호 : 리듬이 머무는 순간",,13:00~14:00,FIELD RECORDING / 들리는 매개체,,,
,,,,,,,,,,,,,15:00~16:00,"NABIYON (LIVE) IMPROVISED VOICE & SOUND HEALING
나비연 즉흥소리 & 사운드 힐링 콘서트",,14:00~15:00,"INDIGO DYEING EXPERIENCE
쪽염색 반다나 체험",,,
일-월,13:00~15:00,운동회,일-월,,,일-월,,,일-월,17:00-18:00,RAKUNELAMA 라쿠네라마,일-월,,,일-월,,,일-월,,
,16:00-17:30,DUUMOK,,15:00-17:00,ANTIDOTE,,,,,19:00-20:00,SAY SUE ME 세이수미,,18:00~19:00,SUNDOWN GONG CEREMONY / 일몰 공 세레모니,,,,,,
,17:30-19:00,DGURU,,17:00-19:00,ANTIDOTE,,,,,21:00-22:00,JISOKURYCLUB 지소쿠리클럽,,20:00~21:00,KIM SAWOL 김사월,,17:00~18:00,DISCO AEROBIC / 디스코에어로빅,,,
,19:00-21:00,OUISSAM,,19:00-21:00,MIHAK,,,,,,,,22:00~23:00,NOVASIA / 노바시아,,19:00~20:00,"DANGJOK LIVE COUNSELING CENTER
댕쪽이 라이브 상담소",,,
,21:00-23:00,SALLY C,,21:00-23:00,ANTWORK,,,,,,,,,,,20:00~21:00,AIRHOUSE CEREMONY / 에어하우스 세레모니,,,
