artist_key,name_en,slug_candidate
2NDFLOOR,2NDFLOOR,2ndfloor
ANTWORK,ANTWORK,antwork
BINH,BINH,binh
CONXISANELIVEPAINTING,CONXI SANE (LIVE PAINTING),conxi-sane-live-painting
COSMJN,COSMJN,cosmjn
DEMUJA,DEMUJA,demuja
DGURU,DGURU,dguru
DJSIN,DJ SIN,dj-sin
DOTT,DOTT,dott
ISAAC,ISAAC,isaac
JINMOO,JINMOO,jinmoo
KIBUMB2BCOSMJN,KIBUM B2B COSMJN,kibum-b2b-cosmjn
KONDUKU,KONDUKU,konduku
LEFTOEARLYBIRD,LEFTO EARLY BIRD,lefto-early-bird
LYUMIN,LYUMIN,lyumin
MARCOSHUTTLE,MARCO SHUTTLE,marco-shuttle
MIHAK,MIHAK,mihak
OUISSAM,OUISSAM,ouissam
RAPHAELCARRAU,RAPHAEL CARRAU,raphael-carrau
SALLYC,SALLY C,sally-c
SPACEMOTION,SPACE MOTION,space-motion
SUNGHOON,SUNGHOON,sunghoon
SUNJUHARGUN,SUNJU HARGUN,sunju-hargun
VERA,VERA,vera
YOUNGSUN,YOUNG SUN,young-sun
