artist_key,name_en,name_ko,slug_candidate,stages_pipe,source_files_pipe,name_en_variants_pipe
2NDFLOOR,2NDFLOOR,,2ndfloor,HANOK,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,2NDFLOOR
AFRODITE,AFRODITE,아프로다이트,afrodite,JANDI,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,AFRODITE
AIRHOUSECEREMONY,AIRHOUSE CEREMONY,에어하우스 세레모니,airhouse-ceremony,MADANG,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,AIRHOUSE CEREMONY
AIRHOUSEYOGAFLOW,AIRHOUSE YOGA FLOW,에어하우스 요가 플로우,airhouse-yoga-flow,MADANG,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,AIRHOUSE YOGA FLOW
ANTWORK,ANTWORK,,antwork,HANOK,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,ANTWORK
ARMENMIRAN,ARMEN MIRAN,아르멘미란,armen-miran,JANDI,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,ARMEN MIRAN|ARMENMIRAN
BAMBOUNOU,BAMBOUNOU,밤부누,bambounou,JANDI,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,BAMBOUNOU
BINH,BINH,,binh,HANOK,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,BINH
BODYARTMEDITATION,BODY ART MEDITATION,체감 예술 명상,body-art-meditation,MAUM,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,BODY ART MEDITATION
CHANGKIHA,CHANG KIHA,장기하,chang-kiha,BARAM,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,CHANG KIHA
CHANGSEAHEE,CHANG SEAHEE,장세희,chang-seahee,EXHIBITION,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,CHANG SEAHEE
CHAWOOL,CHAWOOL,차울,chawool,MADANG,2026__a_z.csv|a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,CHAWOOL
CONXISANELIVEPAINTING,CONXI SANE (LIVE PAINTING),,conxi-sane-live-painting,EXHIBITION,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,CONXI SANE (LIVE PAINTING)
COSMJN,COSMJN,,cosmjn,HANOK,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__stage_artist.csv,COSMJN
DAMONSYEAR,DAMONS YEAR,데이먼스 이어,damons-year,MADANG,a_z_artist__a_z_artist.csv|a_z_artist__full_artist.csv|a_z_artist__sheet.csv|a_z_artist__stage_artist.csv,DAMONS YEAR
