day_label,stage_name,time_raw,start_time,end_time,artist_name_raw,artist_name_en,artist_name_ko,artist_key,artist_slug_candidate,row_number,source_file
일-월,마당,10:00~11:00,10:00,11:00,HEEN DANCE : KICO / 흰댄스 : 키코,HEEN DANCE : KICO,흰댄스 : 키코,HEENDANCEKICO,heen-dance-kico,25,2026__sheet.csv
일-월,마당,11:00~12:00,11:00,12:00,FIELD RECORDING / 들리는 매개체,FIELD RECORDING,들리는 매개체,FIELDRECORDING,field-recording,26,2026__sheet.csv
일-월,마당,12:00~13:00,12:00,13:00,KOREA FOOD HAND RITUAL / 손으로 만드는 한국 음식,KOREA FOOD HAND RITUAL,손으로 만드는 한국 음식,KOREAFOODHANDRITUAL,korea-food-hand-ritual,27,2026__sheet.csv
일-월,마당,13:00~14:00,13:00,14:00,MOTHER-OF-PEARL KEYRING MAKING 자개 키링 만들기,MOTHER-OF-PEARL KEYRING MAKING,자개 키링 만들기,MOTHEROFPEARLKEYRINGMAKING,mother-of-pearl-keyring-making,28,2026__sheet.csv
일-월,마당,17:00~18:00,17:00,18:00,DISCO AEROBIC / 디스코에어로빅,DISCO AEROBIC,디스코에어로빅,DISCOAEROBIC,disco-aerobic,19,2026__sheet.csv
일-월,마당,19:00~20:00,19:00,20:00,DANGJOK LIVE COUNSELING CENTER 댕쪽이 라이브 상담소,DANGJOK LIVE COUNSELING CENTER,댕쪽이 라이브 상담소,DANGJOKLIVECOUNSELINGCENTER,dangjok-live-counseling-center,20,2026__sheet.csv
일-월,마당,20:00~21:00,20:00,21:00,AIRHOUSE CEREMONY / 에어하우스 세레모니,AIRHOUSE CEREMONY,에어하우스 세레모니,AIRHOUSECEREMONY,airhouse-ceremony,21,2026__sheet.csv
일-월,마당,21:00~22:00,21:00,22:00,SAMUI / 사뮈,SAMUI,사뮈,SAMUI,samui,22,2026__sheet.csv
일-월,마당,23:00~24:00,23:00,24:00,DAMONS YEAR / 데이먼스 이어,DAMONS YEAR,데이먼스 이어,DAMONSYEAR,damons-year,23,2026__sheet.csv
일-월,마음,02:00~04:00,02:00,04:00,DJ SOULSCAPE,DJ SOULSCAPE,디제이 소울스케이프,DJSOULSCAPE,dj-soulscape,23,2026__sheet.csv
일-월,마음,04:00~06:00,04:00,06:00,OUISSAM,OUISSAM,,OUISSAM,ouissam,24,2026__sheet.csv
일-월,마음,07:00~08:00,07:00,08:00,HEALING HATHA YOGA / 힐링 하타 요가,HEALING HATHA YOGA,힐링 하타 요가,HEALINGHATHAYOGA,healing-hatha-yoga,25,2026__sheet.csv
일-월,마음,09:00~10:00,09:00,10:00,INDIGO SUNRISE AWAKENING THE EARTH RESONANCE(432Hz) 인디고 선라이즈 – 대지의 공명을 깨우다 (432Hz),INDIGO SUNRISE AWAKENING THE EARTH RESONANCE(432Hz) – (432Hz),인디고 선라이즈 대지의 공명을 깨우다,INDIGOSUNRISEAWAKENINGTHEEARTHRESONANCE432HZ432HZ,,26,2026__sheet.csv
일-월,마음,11:00~12:00,11:00,12:00,VENERABLE BOMAN’S BUDDHIST PSYCHOLOGY 보만스님의 불교심리학,VENERABLE BOMAN’S BUDDHIST PSYCHOLOGY,보만스님의 불교심리학,VENERABLEBOMANSBUDDHISTPSYCHOLOGY,venerable-boman-s-buddhist-psychology,27,2026__sheet.csv
일-월,마음,18:00~19:00,18:00,19:00,SUNDOWN GONG CEREMONY / 일몰 공 세레모니,SUNDOWN GONG CEREMONY,일몰 공 세레모니,SUNDOWNGONGCEREMONY,sundown-gong-ceremony,18,2026__sheet.csv
일-월,마음,20:00~21:00,20:00,21:00,KIM SAWOL 김사월,KIM SAWOL,김사월,KIMSAWOL,kim-sawol,19,2026__sheet.csv
일-월,마음,22:00~23:00,22:00,23:00,NOVASIA / 노바시아,NOVASIA,노바시아,NOVASIA,novasia,20,2026__sheet.csv
일-월,마음,24:00~02:00,24:00,02:00,MOGWAA (LIVE),MOGWAA (LIVE),모과 (라이브),MOGWAALIVE,mogwaa-live,22,2026__sheet.csv
일-월,바람,17:00-18:00,17:00,18:00,RAKUNELAMA 라쿠네라마,RAKUNELAMA,라쿠네라마,RAKUNELAMA,rakunelama,17,2026__sheet.csv
일-월,바람,19:00-20:00,19:00,20:00,SAY SUE ME 세이수미,SAY SUE ME,세이수미,SAYSUEME,say-sue-me,18,2026__sheet.csv
일-월,바람,21:00-22:00,21:00,22:00,JISOKURYCLUB 지소쿠리클럽,JISOKURYCLUB,지소쿠리클럽,JISOKURYCLUB,jisokuryclub,19,2026__sheet.csv
일-월,숲,02:00-04:00,02:00,04:00,MARCO SHUTTLE,MARCO SHUTTLE,,MARCOSHUTTLE,marco-shuttle,24,2026__sheet.csv
