artist_key,artist_name_en,artist_name_ko,artist_slug_candidate,days_pipe,stages_pipe,stage_timing_entries_pipe
AFRODITE,AFRODITE,아프로다이트,afrodite,토-일,잔디,토-일 / 잔디 / 17:30-19:00
AIRHOUSECEREMONY,AIRHOUSE CEREMONY,에어하우스 세레모니,airhouse-ceremony,일-월|토-일,마당,일-월 / 마당 / 20:00~21:00|토-일 / 마당 / 20:00~21:00
AIRHOUSEYOGAFLOW,AIRHOUSE YOGA FLOW,에어하우스 요가 플로우,airhouse-yoga-flow,토-일,마당,토-일 / 마당 / 10:00~11:00
ANTIDOTE,ANTIDOTE,,,일-월,한옥,일-월 / 한옥 / 15:00-17:00|일-월 / 한옥 / 17:00-19:00
ANTWORK,ANTWORK,,antwork,일-월,한옥,일-월 / 한옥 / 21:00-23:00
ARMENMIRAN,ARMEN MIRAN,아르멘미란,armen-miran,토-일,잔디,토-일 / 잔디 / 20:30-22:30
BAMBOUNOU,BAMBOUNOU,밤부누,bambounou,일-월,잔디,일-월 / 잔디 / 23:00-01:00
BINH,BINH,,binh,일-월,한옥,일-월 / 한옥 / 05:00-08:00
BODYARTMEDITATION,BODY ART MEDITATION,체감 예술 명상,body-art-meditation,토-일,마음,토-일 / 마음 / 18:00~19:00
CHANGKIHA,CHANG KIHA,장기하,chang-kiha,토-일,바람,토-일 / 바람 / 21:00-22:00
CHANGSEAHEE,CHANG SEAHEE,장세희,chang-seahee,토-일,작가,토-일 / 작가
CHAWOOL,CHAWOOL,차울,chawool,토-일,마당,토-일 / 마당 / 23:00~24:00
CONXISANE,CONXI SANE,,,토-일,작가,토-일 / 작가
CONXISANELIVEPAINTING,CONXI SANE (LIVE PAINTING),,conxi-sane-live-painting,토-일,작가,토-일 / 작가
DAMONSYEAR,DAMONS YEAR,데이먼스 이어,damons-year,일-월,마당,일-월 / 마당 / 23:00~24:00
DANGJOKLIVECOUNSELINGCENTER,DANGJOK LIVE COUNSELING CENTER,댕쪽이 라이브 상담소,dangjok-live-counseling-center,일-월,마당,일-월 / 마당 / 19:00~20:00
DAOX,DAOX,다옥스,daox,토-일,잔디,토-일 / 잔디 / 19:00-20:30
DATAMEMORYACCESSLIVE,DATA MEMORY ACCESS (LIVE),데이타 메모리 엑세스 (라이브),data-memory-access-live,토-일,한옥,토-일 / 한옥 / 23:00-24:30
DEMUJA,DEMUJA,,demuja,일-월,잔디,일-월 / 잔디 / 13:00-16:00
DGURU,DGURU,,dguru,일-월,잔디,일-월 / 잔디 / 17:30-19:00
DISCOAEROBIC,DISCO AEROBIC,디스코에어로빅,disco-aerobic,일-월,마당,일-월 / 마당 / 17:00~18:00
DJMASDA,DJ MASDA,디제이 마스다,dj-masda,일-월,한옥,일-월 / 한옥 / 01:00-03:00
DJSIN,DJ SIN,,dj-sin,토-일,숲,토-일 / 숲 / 22:00-24:00
DJSOULSCAPE,DJ SOULSCAPE,디제이 소울스케이프,dj-soulscape,일-월,마음,일-월 / 마음 / 02:00~04:00
DOTT,DOTT,,dott,토-일,한옥,토-일 / 한옥 / 19:00-21:00
DUUMOK,DUUMOK,두목,duumok,일-월,잔디,일-월 / 잔디 / 16:00-17:30
